,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,APESHIT,"The Carters",36281,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
89,失落沙洲,"LaLa Hsu",36263,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
90,你會在哪呢,"Jam Hsiao",36219,https://open.spotify.com/track/5nNijbS0inVi7sAyV45NSU
91,"In My Blood","Shawn Mendes",36188,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
92,買榜,Kumachan,36104,https://open.spotify.com/track/67LTN04r77CavIkE7dc4tF
93,"Talk Up",Drake,36063,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
94,"一愛難求 (電視劇《扶搖》片尾曲)","LaLa Hsu",35646,https://open.spotify.com/track/55Cl1GJlpC5hm8YNGq0jfi
95,半句再見,"Stefanie Sun",35436,https://open.spotify.com/track/2GbrvTwp37fiJ8JSMGg3Tl
96,"一舞鍾情 - QQ炫舞系列主題曲",A-Lin,35208,https://open.spotify.com/track/2cOAfCwvTlNtmdPQCsw883
97,日常,EggPlantEgg,34686,https://open.spotify.com/track/5os0kLggrm4cynK8RsOMVf
98,"Like To Be You feat. Julia Michaels","Shawn Mendes",34162,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
99,"Your Love","David Guetta",33657,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
100,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,33508,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
101,Emotionless,Drake,32782,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
102,Sober,"Demi Lovato",32782,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
103,"Love Lies (with Normani)",Khalid,32599,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
104,"不曾回來過 - 電視劇""通靈少女""插曲",李千那,32596,https://open.spotify.com/track/6QAn6Crff7sfcqC83fH7dd
105,讓我留在你身邊,"Eason Chan",32233,https://open.spotify.com/track/07MNtfddtgCo6VrUm3O9dw
106,Focus,"Charli XCX",32138,https://open.spotify.com/track/56mCGN7S1druROilPGNe3R
107,"我多喜歡你,你會知道 - 網劇《致我們單純的小美好》推廣曲","Wang Jun Qi",31648,https://open.spotify.com/track/221FBKC22DTc7XkPIaZYOl
108,"REALLY - KR Ver.",BLACKPINK,31131,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
109,"I'm Upset",Drake,30679,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
110,Closer,"The Chainsmokers",30589,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
111,"Playinwitme (feat. Kehlani)",KYLE,30460,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
112,"Forget to Forget","SHY Martin",30438,https://open.spotify.com/track/4E5IBDRu8kJbzUv1qaZM1t
113,Survival,Drake,30389,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
114,"I'll Be There","Jess Glynne",30276,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
115,偷故事的人,"A-Mei Chang",29718,https://open.spotify.com/track/6RfCHC9UlfGEGNR1bsxhkM
116,長途夜車,"Fire EX.",29465,https://open.spotify.com/track/3aH4zwCqiIEH08zbJO4jlH
117,我懷念的,"Stefanie Sun",29392,https://open.spotify.com/track/7z2M7DsEjZjwXBkWG3zd21
118,IDGAF,"Dua Lipa",28855,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
119,"All Mine","Kanye West",28592,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
120,"我對我 (DNF 十週年主題曲)","Jolin Tsai",28478,https://open.spotify.com/track/3Vh2H54ekkiYREmrVIUoJn
121,"成長之重量 (電影 ""動物世界"" 成長版片尾曲)","Ronghao Li",28461,https://open.spotify.com/track/041ev6oUSidM6Jd4Rm079p
122,Monogamy,Christopher,28351,https://open.spotify.com/track/4CTZcAXWa0XFdyLSKSCheh
123,"If You're Over Me","Years & Years",27901,https://open.spotify.com/track/01k24g94i1JvkFLQmVEdCd
